"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Балдинюк
Василь
Михайлович","Болотенюк
Степан
Васильович","Братанюк
Леонід
Євгенович","Власюк
Олександр
Іванович","Вовк
Анатолій
Іванович","Демчак
Андрій
Васильович","Калетнік
Григорій
Миколайович","Квашук
Олександр
Євгенович","Кошиль
Андрій
Григорович","Куровський
Станіслав
Євгенович","Манжуловський
Олександр
Феофанович","Миролюб
Наталія
Анатоліївна","Стамбула
Геннадій
Станіславович","Філонова
Анна
Валентинівна","Чечель
Микола
Йосипович","Якименко
Костянтин
Вячеславович","Дата підписання протоколу"
"050876","18","Вінницька область","будинок культури, зал
вул.Шевченка, 26, с.Стрижаків, Оратівський р-н, Вінницька обл., 22640","172","33","170","27","112","27","139","","0","112","27","139","4","135","1","2","0","1","0","4","61","0","1","16","1","0","1","4","0","43","28.10.12"
"050877","18","Вінницька область","сільський клуб, зал
вул.Щорса, 40, с.Синарна, Оратівський р-н, Вінницька обл., 22640","236","43","237","22","171","22","193","","0","171","22","193","3","190","0","0","2","0","0","4","65","4","1","8","1","1","0","3","0","101","28.10.12"
"050878","18","Вінницька область","сільський клуб, зал
вул.Молодіжна, 47, с.Угарове, Оратівський р-н, Вінницька обл., 22625","272","68","273","32","176","28","204","","0","176","28","204","6","198","2","1","2","0","2","5","89","3","2","4","0","1","1","4","0","82","28.10.12"
"050879","18","Вінницька область","будинок культури, зал
вул.Леніна, 37, с.Фронтівка, Оратівський р-н, Вінницька обл., 22654","452","115","441","58","279","58","337","","0","279","58","337","9","328","1","2","3","4","1","6","155","11","0","7","3","5","1","4","1","124","28.10.12"
"050880","18","Вінницька область","будинок культури, зал
вул.Заіки, 26, с.Чагів, Оратівський р-н, Вінницька обл., 22635","612","109","611","55","450","53","503","","0","450","53","503","6","497","5","0","6","1","1","16","125","7","1","35","3","1","0","13","0","283","29.10.12"
"050881","18","Вінницька область","дитячий садок, ігрова кімната
вул.Польова, 24, с.Мала Ростівка, Оратівський р-н, Вінницька обл., 22635","160","26","161","18","117","17","134","","0","117","17","134","5","129","3","0","1","1","0","4","40","5","0","4","2","1","0","1","0","67","29.10.12"
"050882","18","Вінницька область","школа, актова зала
вул.Зелена, 50, с.Мервин, Оратівський р-н, Вінницька обл., 22636","316","95","309","30","193","28","221","","0","193","28","221","10","211","2","0","2","1","0","7","86","7","0","15","1","1","0","4","1","84","28.10.12"
"050883","18","Вінницька область","Чернявська ЗОШ
вул.Першотравнева, 22, с.Чернявка, Оратівський р-н, Вінницька обл., 22612","724","49","718","75","600","75","675","","0","600","75","675","8","667","8","0","14","3","1","7","379","13","3","10","0","1","0","2","2","224","28.10.12"
"050884","18","Вінницька область","школа, актова зала
вул.Леніна, 50, с.Човновиця, Оратівський р-н, Вінницька обл., 22613","512","104","508","48","362","46","408","","0","362","46","408","4","404","3","0","3","1","3","4","261","11","0","30","1","1","0","8","0","78","28.10.12"
"050885","18","Вінницька область","будинок механізатора, актова зала
вул.Липова, 1, с.Закриниччя, Оратівський р-н, Вінницька обл., 22613","88","23","85","17","50","15","65","","0","50","15","65","0","65","2","0","1","0","0","1","30","3","1","2","0","0","0","2","0","23","29.10.12"
